,avg,med,std
MetaARIMA(0.025),0.07235435171433155,0.038510053937149596,0.09493932644374264
MetaARIMA(0.05),0.07190353042048804,0.03799249738439485,0.09479686224501199
MetaARIMA(0.075),0.0690422901955898,0.0366817325476774,0.08875943264603744
MetaARIMA(0.1),0.0687013502302551,0.03813421965932915,0.08905245516139945
MetaARIMA(0.125),0.06821477126637285,0.0378960722092042,0.08523178125446668
MetaARIMA(0.15),0.06810417063488762,0.03813993888039145,0.08614488463698868
MetaARIMA(0.175),0.06733938053049841,0.0377233630015296,0.08521508762196617
MetaARIMA(0.19999999999999998),0.06732250142454987,0.038404537554351345,0.08232016359177348
MetaARIMA(0.22499999999999998),0.06613030200185488,0.0378164657877873,0.07999723213748906
MetaARIMA(0.24999999999999997),0.06552330365726232,0.03841196086202365,0.07815679317805177
MetaARIMA(0.27499999999999997),0.06512312896967139,0.0378654644213121,0.07592813951562238
MetaARIMA(0.3),0.06477490531463431,0.0379168268625724,0.0759197388049047
MetaARIMA(0.325),0.06449634502109698,0.0372758203280435,0.0755335408484639
MetaARIMA(0.35),0.0644369430054534,0.036952493516467955,0.0758358340161461
MetaARIMA(0.375),0.06397518690819877,0.036552196701664,0.07505706633907902
MetaARIMA(0.39999999999999997),0.06430716405366094,0.037129310258107645,0.075326073689396
MetaARIMA(0.425),0.06432167630355663,0.03727207520252885,0.07546259763266318
MetaARIMA(0.45),0.06369007314382975,0.036587587847105946,0.07461670011254694
MetaARIMA(0.475),0.06362768562689557,0.036874062355329904,0.07466608855500075
MetaARIMA(0.5),0.06381121248495868,0.03739574500410375,0.07559324916500154
MetaARIMA(0.5249999999999999),0.0637155927385081,0.036938412764029455,0.0741611841627245
MetaARIMA(0.5499999999999999),0.06436292277763823,0.03781734886099755,0.07563309771863576
MetaARIMA(0.575),0.06470090001338605,0.037706424050394746,0.07632199497047845
MetaARIMA(0.6),0.06527248031631178,0.038351558026063354,0.07669603721317125
MetaARIMA(0.625),0.06496815752111275,0.038304862943575504,0.07647576502977355
MetaARIMA(0.65),0.06618960291763434,0.03836095461349945,0.07891713592422989
MetaARIMA(0.6749999999999999),0.06650012276797261,0.0383799421768026,0.07899822373439751
MetaARIMA(0.7),0.06755539128313844,0.0382368183431714,0.08097747567632173
MetaARIMA(0.725),0.06739467565905785,0.038212153835837454,0.08059332279196733
MetaARIMA(0.75),0.06749886296589327,0.0385413749685175,0.08034177215076305
MetaARIMA(0.7749999999999999),0.067871470026712,0.03827899979397435,0.08105737812807745
MetaARIMA(0.7999999999999999),0.06842706563814056,0.03866849965378525,0.08240950252663737
MetaARIMA(0.825),0.06799433817897044,0.0379304732959967,0.08126276951816544
MetaARIMA(0.85),0.06824494346587674,0.037897379569567596,0.0817585113075105
MetaARIMA(0.875),0.06782491927583847,0.03752086890027615,0.0819767097269906
MetaARIMA(0.8999999999999999),0.0682399890147959,0.038249791716003345,0.08285809174163808
MetaARIMA(0.9249999999999999),0.069153618589002,0.03888157312435035,0.08363195087249514
MetaARIMA(0.95),0.07069701267827744,0.03937002395750505,0.08887910773689893
