unique_id,ds,y,MetaARIMA,AutoARIMA,SeasonalNaive,TimesFM
T000000,1993-08-31,6857.8,6596.216690779869,6667.752786899724,6611.115,6604.7295
T000000,1993-09-30,4346.09,4306.520052662829,4227.479462433336,4150.2395,4250.8164
T000000,1993-10-31,3154.73,2975.8311878845593,2969.658623326873,2841.0,3006.2378
T000000,1993-11-30,2142.21,1854.537554920838,1938.663653589015,1813.44,2185.869
T000000,1993-12-31,2375.725,2441.0427105207586,2371.430480886811,2261.08,2456.3179
T000000,1994-01-31,1981.11,1929.2813150116222,1933.6487025814208,1873.605,2007.8285
T000000,1994-02-28,1959.865,1777.5919905653554,1825.73581128005,1772.84,1989.3894
T000000,1994-03-31,2466.31,2172.1281707105263,2127.778662050185,2049.565,2336.2842
T000000,1994-04-30,2851.715,2950.697343344984,2928.087200227882,2932.265,2852.1377
T000000,1994-05-31,3671.805,3133.8270219808105,3163.919252064916,3113.255,3218.5415
T000000,1994-06-30,3806.78,3564.7199047930117,3525.3590975710686,3461.505,3739.6555
T000000,1994-07-31,6995.05,6219.1109187451275,6255.347580660485,6265.74,6195.7407
T000001,1993-08-31,185953.0,189979.34361465205,188581.6841659037,176215.2,192778.34
T000001,1993-09-30,171384.6,166333.83474431367,164959.88034060816,160025.7,169199.83
T000001,1993-10-31,169834.5,154182.82819711277,154165.47777945703,150995.5,155653.16
T000001,1993-11-30,125275.4,112226.39578480154,113623.39989763038,112002.6,115106.61
T000001,1993-12-31,90986.6,93517.5221089805,93846.52772987788,85668.59,95873.09
T000001,1994-01-31,100422.4502,111506.80858906564,112431.99701509153,107283.1,108956.52
T000001,1994-02-28,94333.93611,93588.77528971048,94104.34462252927,86953.77,99156.08
T000001,1994-03-31,109861.6957,99699.34539341828,100495.55771118969,95141.96,104783.31
T000001,1994-04-30,116636.7445,111348.20862039027,111912.64889834136,104902.6,118238.85
T000001,1994-05-31,139426.5233,124630.62470178977,125156.09224356862,117794.5,131456.08
T000001,1994-06-30,161014.9254,139708.57829712605,141038.63979575862,139187.5,150651.12
T000001,1994-07-31,199405.116,183353.82359789638,184854.63572280185,183571.9,191029.69
T000002,2006-01-31,84685.0,87109.34529857762,85754.35312885923,89162.0,87534.16
T000002,2006-02-28,72779.0,73946.07984829423,70826.92085807455,66728.0,79993.555
T000002,2006-03-31,106548.0,96830.29431109448,92851.17091982656,104864.0,102266.195
T000002,2006-04-30,105057.0,90392.62590648772,83680.02329930238,102253.0,101858.234
T000002,2006-05-31,92703.0,82939.85346336878,74365.45877506242,91564.0,92549.44
T000002,2006-06-30,102484.0,88586.47671456999,79611.7735028397,99782.0,98205.04
T000002,2006-07-31,101753.0,92336.46669663322,82895.47643793272,100335.0,98984.7
T000002,2006-08-31,86872.0,85797.58764361449,75832.33624363987,87455.0,90701.14
T000002,2006-09-30,87775.0,84700.76244804893,74145.47729609351,87126.0,90256.3
T000002,2006-10-31,116104.0,110771.94644744646,99922.23227411414,113382.0,119488.305
T000002,2006-11-30,108333.0,102272.42983527329,91564.55694945011,109339.0,105561.47
T000002,2006-12-31,93932.0,90237.29813798072,78957.63437577772,91099.0,91860.7
T000003,2006-01-31,26049.0,28082.994267650938,27619.717337473558,25621.0,26911.617
T000003,2006-02-28,22309.0,24626.54319666942,24146.324827918263,19333.0,23822.73
T000003,2006-03-31,31849.0,30764.61977300211,29628.83276969051,29124.0,29784.914
T000003,2006-04-30,28788.0,26341.275402840605,24792.592586690043,26206.0,27752.445
T000003,2006-05-31,26268.0,24858.746430253825,23101.6145826252,24662.0,26371.605
T000003,2006-06-30,21046.0,22547.39174917206,20859.032980187338,20063.0,23417.332
T000003,2006-07-31,28506.0,26353.39837295851,24366.41392461935,24784.0,26750.73
T000003,2006-08-31,25586.0,25368.441052363705,23265.940416231064,23189.0,25713.592
T000003,2006-09-30,21037.0,22782.28487293766,20530.761022548584,20031.0,23291.652
T000003,2006-10-31,33134.0,31677.101090821438,29014.450272972208,31092.0,31883.654
T000003,2006-11-30,36748.0,32943.4542669434,29989.32285454033,33325.0,32003.635
T000003,2006-12-31,34377.0,31682.670415435234,28625.434303792015,31412.0,30169.004
T000004,2006-01-31,48817.0,50263.98312746164,48716.539143997135,44171.0,48679.242
T000004,2006-02-28,35067.0,40611.72523146338,40665.18214611908,28694.0,39014.996
T000004,2006-03-31,44026.0,49021.40660044039,47169.40022649954,41972.0,46711.797
T000004,2006-04-30,51793.0,46657.29917911905,48452.32204113553,44119.0,45511.754
T000004,2006-05-31,42239.0,44076.50699366664,45439.88100211646,39822.0,42829.363
T000004,2006-06-30,48081.0,47575.7875355331,49688.66410534696,47412.0,46435.855
T000004,2006-07-31,46913.0,48285.14562739587,48851.19601099907,46414.0,43830.547
T000004,2006-08-31,39952.0,44377.58705801371,43624.55040865459,39951.0,40039.43
T000004,2006-09-30,52498.0,52448.03644006095,50719.04083246591,49662.0,48390.926
T000004,2006-10-31,55218.0,53852.733874576676,51721.35246849264,49482.0,47054.688
T000004,2006-11-30,46420.0,49918.66913876133,48159.41732828131,43546.0,42300.797
T000004,2006-12-31,52909.0,54363.58243830427,53017.08520834295,50332.0,46855.453
T000005,2006-01-31,38689.0,37857.221564015555,37685.43998040842,39292.0,36895.1
T000005,2006-02-28,41460.0,37429.287299436786,37077.50513700346,32350.0,37657.047
T000005,2006-03-31,51059.0,48010.286908671864,47424.64852363983,48773.0,48268.22
T000005,2006-04-30,47601.0,38133.975520774446,37167.07093879436,42371.0,42285.07
T000005,2006-05-31,34785.0,30396.112284425064,29015.634700664486,32204.0,33491.56
T000005,2006-06-30,30895.0,28607.47423238581,27149.305004540958,30396.0,29591.113
T000005,2006-07-31,35205.0,32075.924558066974,30434.91634679961,34089.0,33528.344
T000005,2006-08-31,37240.0,32220.93770295693,30377.872009600447,34031.0,35974.12
T000005,2006-09-30,38076.0,33562.771128548826,31448.561505136826,34931.0,38240.625
T000005,2006-10-31,55525.0,46039.236183167595,43955.59630234998,50028.0,51269.297
T000005,2006-11-30,56107.0,44793.386937250114,42481.75298195271,47097.0,44017.582
T000005,2006-12-31,49853.0,36352.38123821154,33944.73474496194,39039.0,36071.703
T000006,2006-01-31,13582.0,15007.208623299175,14776.285327662474,13921.0,14220.285
T000006,2006-02-28,13898.0,15533.296269213099,14583.00312178008,11658.0,15038.008
T000006,2006-03-31,20853.0,21425.80061962136,20310.209440243496,19017.0,19036.586
T000006,2006-04-30,21487.0,21295.770491537118,20067.755148494725,21023.0,20177.13
T000006,2006-05-31,17042.0,16918.268958531364,15510.171078360963,15987.0,16384.977
T000006,2006-06-30,14432.0,14606.373211276128,13244.682221388137,14039.0,14307.213
T000006,2006-07-31,13884.0,15154.071488463656,13746.224782794377,14740.0,14572.574
T000006,2006-08-31,15733.0,15689.685907774587,14227.345985689779,15158.0,15025.176
T000006,2006-09-30,17889.0,18026.09308392687,16464.62526865168,17561.0,16876.648
T000006,2006-10-31,25661.0,25811.581647315317,24189.514573578188,25464.0,24951.79
T000006,2006-11-30,22243.0,22190.628330295836,20377.983133749265,21276.0,20855.52
T000006,2006-12-31,17133.0,16003.362362345237,14073.155145414054,14781.0,15293.889
T000007,2006-01-31,101602.0,98241.6067210452,102816.73516219344,115957.0,108232.25
