iter	MultiRMSE
0	8.749433587
1	8.720222405
2	8.689245047
3	8.661158464
4	8.636156533
5	8.613129729
6	8.590401114
7	8.568619004
8	8.550658742
9	8.531727713
10	8.514522701
11	8.498992911
12	8.483807619
13	8.469871322
14	8.458188956
15	8.446772285
16	8.434854841
17	8.425663925
18	8.415947148
19	8.406819205
20	8.399142172
21	8.389140903
22	8.380359791
23	8.371883875
24	8.363952226
25	8.358556799
26	8.352209357
27	8.345401353
28	8.339539286
29	8.333510224
30	8.327467667
31	8.322355229
32	8.317266101
33	8.312190892
34	8.306537411
35	8.302164795
36	8.297992903
37	8.292652094
38	8.28862463
39	8.284274186
40	8.279494785
41	8.275574293
42	8.272131399
43	8.269134753
44	8.265239026
45	8.262652706
46	8.258762732
47	8.25555562
48	8.252216658
49	8.249722668
50	8.246946137
51	8.24413853
52	8.239867075
53	8.236914728
54	8.232502003
55	8.229828936
56	8.226264517
57	8.222441464
58	8.219854845
59	8.217576162
60	8.215071306
61	8.213007668
62	8.210744753
63	8.207535512
64	8.204405763
65	8.201133358
66	8.197690435
67	8.195781215
68	8.192100899
69	8.188489713
70	8.187066395
71	8.184490714
72	8.181433456
73	8.179915452
74	8.176685002
75	8.17444549
76	8.171987411
77	8.169237758
78	8.167230842
79	8.164073857
80	8.162836287
81	8.160292803
82	8.15754225
83	8.155538271
84	8.15334132
85	8.150608079
86	8.148171485
87	8.146013169
88	8.143075659
89	8.140797097
90	8.138809781
91	8.13701948
92	8.13541062
93	8.133357437
94	8.131208392
95	8.129281425
96	8.12699209
97	8.124506588
98	8.122726586
99	8.120423067
100	8.118349386
101	8.116451975
102	8.114472035
103	8.112159371
104	8.110185725
105	8.107440003
106	8.105532132
107	8.103629216
108	8.1021067
109	8.09992672
110	8.096981027
111	8.094817997
112	8.092652065
113	8.090542778
114	8.087874223
115	8.085445414
116	8.084356288
117	8.081597514
118	8.080442276
119	8.078644045
120	8.076516519
121	8.074880631
122	8.073398503
123	8.07158493
124	8.069326304
125	8.067466753
126	8.065555931
127	8.064040873
128	8.062200705
129	8.060535596
130	8.059080969
131	8.056725064
132	8.055206555
133	8.05418995
134	8.052237384
135	8.050593352
136	8.048364555
137	8.04675483
138	8.045734709
139	8.04436338
140	8.042323761
141	8.040325956
142	8.0389055
143	8.036908954
144	8.034800944
145	8.03246246
146	8.030966369
147	8.028863397
148	8.027063499
149	8.025710384
150	8.024023375
151	8.021387943
152	8.020066106
153	8.01833275
154	8.016750162
155	8.015111478
156	8.013504324
157	8.012139398
158	8.010692343
159	8.009072697
160	8.007247416
161	8.005392734
162	8.003627709
163	8.002362992
164	8.000591375
165	7.999404404
166	7.997802982
167	7.99643361
168	7.995173348
169	7.993676883
170	7.991317495
171	7.99021566
172	7.98901866
173	7.987918397
174	7.986521752
175	7.985176891
176	7.983371044
177	7.981377322
178	7.979123813
179	7.977980645
180	7.97644781
181	7.974255648
182	7.972857593
183	7.970960662
184	7.969123664
185	7.967905072
186	7.966261179
187	7.964282995
188	7.961779765
189	7.960367389
190	7.958487995
191	7.956650882
192	7.954355928
193	7.952295182
194	7.950015166
195	7.94864296
196	7.946870419
197	7.944884208
198	7.943680272
199	7.941700719
200	7.939842589
201	7.937820848
202	7.936392045
203	7.93465068
204	7.933094004
205	7.931747604
206	7.929929634
207	7.928324666
208	7.926564018
209	7.924951571
210	7.923413694
211	7.921805486
212	7.920177404
213	7.918513757
214	7.916627901
215	7.914731737
216	7.913279618
217	7.911294138
218	7.908978002
219	7.906595413
220	7.905007231
221	7.903661978
222	7.902010839
223	7.900413073
224	7.898867603
225	7.897174428
226	7.895284972
227	7.893640577
228	7.892210331
229	7.891044639
230	7.889218722
231	7.887822439
232	7.88689807
233	7.885129173
234	7.883400944
235	7.881687126
236	7.880707563
237	7.878800345
238	7.877083008
239	7.875420557
240	7.873936774
241	7.872191436
242	7.870549818
243	7.868490041
244	7.867127443
245	7.865768538
246	7.863921305
247	7.862463657
248	7.860978786
249	7.858946594
250	7.857241086
251	7.85547434
252	7.854063991
253	7.851857538
254	7.849211986
255	7.847330043
256	7.845953972
257	7.844447952
258	7.843039567
259	7.841630498
260	7.840167438
261	7.838698706
262	7.836970195
263	7.835025667
264	7.833689328
265	7.832515741
266	7.831494033
267	7.83044399
268	7.828620497
269	7.827298342
270	7.824751191
271	7.82326536
272	7.822699362
273	7.821159465
274	7.819739731
275	7.81764582
276	7.815758501
277	7.814716937
278	7.813596591
279	7.812369652
280	7.811279549
281	7.809715566
282	7.808311738
283	7.806847034
284	7.805197191
285	7.803656521
286	7.801830508
287	7.800429738
288	7.798917715
289	7.79710779
290	7.795625159
291	7.794166618
292	7.792713105
293	7.791590178
294	7.789724839
295	7.78782069
296	7.786321561
297	7.784976321
298	7.78358496
299	7.781535266
